iter	Logloss
0	0.6724415341
1	0.6523042881
2	0.6346608804
3	0.6163332549
4	0.6010914478
5	0.5855534024
6	0.5688240117
7	0.5536616835
8	0.5385319927
9	0.5295082279
10	0.5182068194
11	0.508210749
12	0.498084782
13	0.486815236
14	0.4778687583
15	0.4704019333
16	0.4622281738
17	0.4556882403
18	0.449872693
19	0.4414572142
20	0.435498925
21	0.4298633769
22	0.4258906877
23	0.421265584
24	0.4146841031
25	0.4095267668
26	0.4041345953
27	0.3984301955
28	0.391397082
29	0.3877417328
30	0.3815192878
31	0.3760977589
32	0.3729555925
33	0.363477601
34	0.3592453884
35	0.3559597566
36	0.3527648173
37	0.3472015546
38	0.3443300938
39	0.340308748
40	0.335895239
41	0.3337007393
42	0.3298995983
43	0.3272118955
44	0.3256361655
45	0.323047862
46	0.3206692858
47	0.3182624551
48	0.3142552012
49	0.3105178767
50	0.306977648
51	0.3040385799
52	0.3025481655
53	0.2999830538
54	0.2980859762
55	0.2957912354
56	0.2930085935
57	0.2897255327
58	0.2877422927
59	0.2855157671
60	0.2830438285
61	0.2813507258
62	0.2797899869
63	0.2765841935
64	0.2743770444
65	0.2722758679
66	0.2703711255
67	0.267564141
68	0.2658400602
69	0.2633999648
70	0.2608652329
71	0.2593194485
72	0.2573979078
73	0.255866996
74	0.2541774545
75	0.2520068484
76	0.2499316166
77	0.2482096197
78	0.2457762512
79	0.2439934186
80	0.2418884549
81	0.2399550531
82	0.2385514321
83	0.2367744717
84	0.2347982904
85	0.2331953429
86	0.2314364411
87	0.2303418805
88	0.2284748692
89	0.227105065
90	0.2253884644
91	0.2235751351
92	0.2210196814
93	0.2197025963
94	0.2181580185
95	0.2163367071
96	0.2150495869
97	0.2135154228
98	0.212165078
99	0.2105997209
100	0.2091352844
101	0.2078440611
102	0.2065343152
103	0.2045690484
104	0.2030466284
105	0.2013530277
106	0.1995683207
107	0.1987960844
108	0.1975808482
109	0.1960712923
110	0.1952449015
111	0.1940017354
112	0.1927942858
113	0.1915575503
114	0.1902290177
115	0.1895437871
116	0.1883461501
117	0.1867712986
118	0.1859836199
119	0.1847859326
120	0.1838259125
121	0.1826237745
122	0.1813106618
123	0.1802571752
124	0.1792692817
125	0.178049905
126	0.1766522102
127	0.1755383899
128	0.1739397989
129	0.1724756509
130	0.1714283779
131	0.1696372689
132	0.1683178396
133	0.1675913106
134	0.1663130274
135	0.1649671118
136	0.1640139794
137	0.1630733167
138	0.1617015075
139	0.1605407546
140	0.1589397689
141	0.1575920596
142	0.1566280726
143	0.1556351387
144	0.154620776
145	0.1537329243
146	0.1523824243
147	0.1513098999
148	0.1502996192
149	0.1486888089
150	0.1481885554
151	0.1475738768
152	0.147223475
153	0.1463096272
154	0.144616274
155	0.1436689283
156	0.1426110582
157	0.1416056409
158	0.1401228895
159	0.1386924314
160	0.1373909397
161	0.1367323578
162	0.1366641566
163	0.1356728308
164	0.1343152959
165	0.1335501516
166	0.1327408899
167	0.1315746356
168	0.130484467
169	0.1293349004
170	0.1284796398
171	0.1275248496
172	0.1267682532
173	0.1261561066
174	0.1252440829
175	0.1243240481
176	0.1236023407
177	0.1223821114
178	0.1213964636
179	0.120869079
180	0.1201704669
181	0.1193231395
182	0.1186040314
183	0.1175197537
184	0.1169153091
185	0.1164919465
186	0.1158280205
187	0.1155103183
188	0.1147073089
189	0.1139109296
190	0.1133364312
191	0.1124965518
192	0.1119815215
193	0.1112222921
194	0.1105772532
195	0.1096586632
196	0.1089219366
197	0.1082199245
198	0.1076618887
199	0.1068345666
